100124,Michael Hartley,North Central,,CrossFit Gambit,Male,35,5'7",145 lb,6:33,9:29,6:55,23:00,304,--,20:10,185 lb,125 lb,385 lb,225 lb,--
100126,Timothy Baldry,South West,CrossFit Desert Valley,CrossFit Desert Valley,Male,47,5'7",225 lb,--,--,--,--,--,--,--,--,--,--,--,--
100128,Steve Palmer,North Central,Team Trilogy,CrossFit Trilogy,Male,22,5'9",170 lb,2:50,--,2:08,--,--,0:55,--,275 lb,215 lb,425 lb,355 lb,50
100129,Jill Merritt,South Central,,CrossFit Underworld,Female,28,5'6",115 lb,--,--,--,--,--,--,--,125 lb,100 lb,175 lb,140 lb,--
10013,Jess Fisher,,,,Male,38,5'10",178 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
100131,James Latch,South Central,Project Unknown,CrossFit Ocean Springs,Male,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100133,Patrick Manning,South West,CrossFit Chaparral,CrossFit Chaparral,Male,36,6'0",185 lb,7:51,11:30,--,--,--,--,--,205 lb,150 lb,315 lb,255 lb,--
100135,Emily Baye,North East,Crossfit 315,CrossFit 315,Female,31,5'4",140 lb,--,--,--,--,298,--,22:18,150 lb,--,300 lb,225 lb,25
100137,Nina Marold,North East,Ocean State,Ocean State CrossFit,Female,25,5'9",192 lb,--,12:39,3:33,--,--,--,28:34,125 lb,80 lb,235 lb,180 lb,0
100139,Jocelyn Craft,South Central,,CrossFit Midlothian,Female,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10014,Katie O'Donnell,Central East,,Burning River CrossFit,Female,29,5'0",--,5:17,0:00,3:30,0:00,--,0:00,25:15,150 lb,100 lb,235 lb,175 lb,24
100140,Michael Nieder,North Central,,A3 CrossFit,Male,38,5'8",185 lb,--,--,--,--,--,--,--,175 lb,145 lb,380 lb,--,--
100142,Thea Mayes,Australia,TEAM CFAK,CrossFit Auckland,Female,24,164 cm,64 lb,--,--,--,--,--,--,--,60 kg,42 kg,115 kg,100 kg,--
100144,Jason Rakitin,North East,CrossFit Tri County Team 1,CrossFit Tri-County,Male,37,5'8",185 lb,8:04,--,--,--,--,--,--,165 lb,115 lb,405 lb,315 lb,15
100145,Katharine Akers,Mid Atlantic,LoCo CrossFit,LoCo CrossFit,Female,37,5'2",120 lb,8:05,--,5:50,--,222,--,27:22,90 lb,60 lb,200 lb,145 lb,2
100148,Mark Osgood,North Central,Crossfit Darien,CrossFit Darien,Male,60,6'0",190 lb,--,--,--,--,--,--,--,--,--,--,--,--
10015,Evan Halquist,Southern California,,CrossFit Arrowhead,Male,29,5'11",188 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
100150,John Bosma,Southern California,CrossFit Code 3,CrossFit Code 3,Male,60,6'5",220 lb,--,--,--,--,--,--,--,--,--,--,--,--
100151,Ashley Cox,South West,Mile High CrossFit,Mile High CrossFit,Male,35,5'6",174 lb,5:29,11:18,4:44,32:36,273,--,--,205 lb,175 lb,425 lb,315 lb,--
100154,Johnny Di Gregorio,Southern California,CrossFit Pasadena,CrossFit Pasadena,Male,31,6'0",310 lb,4:32,9:07,2:05,19:00,301,1:24,22:47,165 kg,130 kg,250 kg,230 kg,34
100155,Joacim lebo,Europe,,,Male,44,178 cm,82 kg,--,--,--,--,--,--,19:23,85 kg,60 kg,180 kg,120 kg,--
100159,Cassi Niemann,South East,Crossfit RXG,CrossFit Rx,Female,33,5'3",140 lb,5:03,--,--,--,--,--,--,150 lb,115 lb,270 lb,210 lb,--
10016,Derik Schneider,South Central,,CrossFit Wichita Falls,Male,29,5'8",160 lb,--,9:27,--,--,--,--,--,155 lb,--,345 lb,290 lb,--
100160,Harry Wu,Northern California,Lamorinda CrossFit,Lamorinda CrossFit,Male,24,5'11",185 lb,6:57,--,8:01,--,--,--,--,--,--,--,--,--
100161,Jodi COSSEY,Southern California,Axiom CrossFit,Axiom CrossFit,Female,35,5'7",66 kg,--,--,--,--,--,--,--,--,--,--,--,--
